exchange,id,data_start
BINANCE,BINANCE_SPOT_XRP_USDC,2018-12-15
BINANCE,BINANCE_SPOT_BTC_USDC,2018-12-15
BINANCE,BINANCE_SPOT_ETH_USDC,2018-12-15
BINANCE,BINANCE_SPOT_USDC_USDT,2018-12-15
BINANCE,BINANCE_SPOT_AION_BNB,2017-12-21
BINANCE,BINANCE_SPOT_ADA_TUSD,2018-12-19
BINANCE,BINANCE_SPOT_TRX_TUSD,2018-12-19
BINANCE,BINANCE_SPOT_POE_BTC,2017-11-20
BINANCE,BINANCE_SPOT_TNT_ETH,2017-11-22
BINANCE,BINANCE_SPOT_TRX_XRP,2018-12-24
BINANCE,BINANCE_SPOT_ENG_ETH,2017-10-13
BINANCE,BINANCE_SPOT_ENG_BTC,2017-10-13
BINANCE,BINANCE_SPOT_STEEM_BNB,2018-02-01
BINANCE,BINANCE_SPOT_BRD_BNB,2017-12-24
BINANCE,BINANCE_SPOT_PAX_USDT,2018-10-04
BINANCE,BINANCE_SPOT_LINK_USDC,2019-01-16
BINANCE,BINANCE_SPOT_LINK_USDT,2019-01-16
BINANCE,BINANCE_SPOT_WAVES_USDT,2019-01-18
BINANCE,BINANCE_SPOT_RLC_BNB,2018-01-12
BINANCE,BINANCE_SPOT_AE_BTC,2018-02-07
BINANCE,BINANCE_SPOT_BCH_USDC,2019-01-22
BINANCE,BINANCE_SPOT_LTC_USDC,2019-01-24
BINANCE,BINANCE_SPOT_TRX_USDC,2019-01-24
BINANCE,BINANCE_SPOT_LTC_TUSD,2019-01-24
BINANCE,BINANCE_SPOT_BTT_BNB,2019-01-31
BINANCE,BINANCE_SPOT_BTT_USDT,2019-01-31
BINANCE,BINANCE_SPOT_NEBL_BNB,2017-12-22
BINANCE,BINANCE_SPOT_LEND_BTC,2017-12-12
BINANCE,BINANCE_SPOT_LEND_ETH,2017-12-12
BINANCE,BINANCE_SPOT_BTT_USDC,2019-02-15
BINANCE,BINANCE_SPOT_BTT_TUSD,2019-02-15
BINANCE,BINANCE_SPOT_ONG_BTC,2019-02-16
BINANCE,BINANCE_SPOT_ONG_USDT,2019-02-16
BINANCE,BINANCE_SPOT_HOT_USDT,2019-02-18
BINANCE,BINANCE_SPOT_HOT_BNB,2019-02-18
BINANCE,BINANCE_SPOT_ZIL_USDT,2019-02-19
BINANCE,BINANCE_SPOT_NPXS_ETH,2018-06-21
BINANCE,BINANCE_SPOT_ZRX_USDT,2019-02-27
BINANCE,BINANCE_SPOT_FET_USDT,2019-02-27
BINANCE,BINANCE_SPOT_FET_BTC,2019-02-27
BINANCE,BINANCE_SPOT_FET_BNB,2019-02-27
BINANCE,BINANCE_SPOT_BCN_ETH,2018-05-08
BINANCE,BINANCE_SPOT_BAT_USDT,2019-03-04
BINANCE,BINANCE_SPOT_AE_ETH,2018-02-07
